"pais";"codigo";"cantHabitantes";"confirmados";"porCien"
"Afghanistan";4;38928341;58542;0,150384009429017
"Albania";8;2877800;130270;4,52672180137605
"Algeria";12;43851043;120562;0,274935307696102
"Andorra";20;77265;13007;16,8342716624604
"Angola";24;32866268;25279;0,0769147260650342
"Antigua and Barbuda";28;97928;1222;1,24785556735561
"Argentina";32;45195777;2824652;6,24981400364021
"Armenia";51;2963234;212114;7,15819270432237
"Australia";36;25499881;29653;0,116286817181617
"Austria";40;9006400;604823;6,71548010303784
"Azerbaijan";31;10139175;309789;3,05536693074141
"Bahamas";44;393248;9976;2,53682154772561
"Bahrain";48;1701583;169254;9,94685536938251
"Bangladesh";50;164689383;739703;0,449150386336683
"Barbados";52;287371;3820;1,32929209975954
"Belarus";112;9449321;350221;3,70630863318116
"Belgium";56;11589616;968107;8,35322757889476
"Belize";84;397621;12599;3,16859522007137
"Benin";204;12123198;7720;0,063679567058131
"Bhutan";64;771612;1008;0,130635604422948
"Bolivia";68;11673029;295892;2,53483478881103
"Bosnia and Herzegovina";70;3280815;194733;5,9355068786262
"Botswana";72;2351625;45855;1,94992824110987
"Brazil";76;212559409;14237078;6,69792885997345
"Brunei Darussalam";96;437483;223;0,0509734092524738
"Bulgaria";100;6948445;396302;5,70346314894915
"Burkina Faso";854;20903278;13231;0,0632962925719115
"Burma";104;54409794;142687;0,262245065658583
"Burundi";108;11890781;3759;0,0316127258587977
"Cabo Verde";132;555988;21784;3,91807017417642
"Cambodia";116;16718971;8848;0,0529219172639273
"Cameroon";120;26545864;65998;0,248618767880375
"Canada";124;37742157;1172697;3,10712766098663
"Central African Republic";140;4829764;6224;0,128867580279285
"Chad";148;16425859;4747;0,0288995540507197
"Chile";152;19116209;1155902;6,04671145832314
"China";156;1439323774;102872;0,00714724524518276
"Colombia";170;50882884;2740544;5,38598401772981
"Comoros";174;869595;3826;0,439974930858618
"Congo (Brazzaville)";178;5518092;10084;0,182744325393632
"Costa de Marfil";384;26378275;45765;0,173495044691133
"Costa Rica";188;5094114;236930;4,65105413816809
"Croatia";191;4105268;318837;7,76653314716603
"Cuba";192;11326616;99208;0,875883847390959
"Cyprus";196;1207361;60681;5,02592016803591
"Czech Republic";203;10708982;1615461;15,0851033272817
"Democratic Republic of the Congo";180;89561404;29405;0,0328322231304011
"Denmark";208;5792203;247157;4,2670638442748
"Djibouti";262;988002;10738;1,08683990518238
"Dominica";212;71991;173;0,24030781625481
"Dominican Republic";214;10847904;263470;2,42876411885651
"East Timor";626;1318442;1657;0,125678641912196
