"pais";"codigo";"cantHabitantes";"casos"
"Afghanistan";4;38928341;57534
"Albania";8;2877800;129128
"Algeria";12;43851043;119142
"Andorra";20;77265;12641
"Angola";24;32866268;23951
"Antigua and Barbuda";28;97928;1209
"Argentina";32;45195777;2629156
"Armenia";51;2963234;206142
"Australia";36;25499881;29484
"Austria";40;9006400;586883
"Azerbaijan";31;10139175;294211
"Bahamas";44;393248;9505
"Bahrain";48;1701583;160934
"Bangladesh";50;164689383;707362
"Barbados";52;287371;3753
"Belarus";112;9449321;340023
"Belgium";56;11589616;939309
"Belize";84;397621;12529
"Benin";204;12123198;7611
"Bhutan";64;771612;934
"Bolivia";68;11673029;286114
"Bosnia and Herzegovina";70;3280815;187715
"Botswana";72;2351625;44075
"Brazil";76;212559409;13746681
"Brunei Darussalam";96;437483;221
"Bulgaria";100;6948445;382761
"Burkina Faso";854;20903278;13064
"Burma";104;54409794;142610
"Burundi";108;11890781;3424
"Cabo Verde";132;555988;19780
"Cambodia";116;16718971;5218
"Cameroon";120;26545864;61731
"Canada";124;37742157;1104508
"Central African Republic";140;4829764;5682
"Chad";148;16425859;4673
"Chile";152;19116209;1101698
"China";156;1439323774;102135
"Colombia";170;50882884;2602719
"Comoros";174;869595;3809
"Congo (Brazzaville)";178;5518092;10084
"Costa de Marfil";384;26378275;45444
"Costa Rica";188;5094114;227533
"Croatia";191;4105268;300900
"Cuba";192;11326616;90408
"Cyprus";196;1207361;53944
"Czech Republic";203;10708982;1593847
"Democratic Republic of the Congo";180;89561404;28769
"Denmark";208;5792203;241023
"Djibouti";262;988002;10275
"Dominica";212;71991;165
"Dominican Republic";214;10847904;259639
"East Timor";626;1318442;1138
"Ecuador";218;17643060;355431
"Egypt";818;102334403;213798
"El Salvador";222;6486201;67099
"Equatorial Guinea";226;1402985;7259
"Eritrea";232;3546427;3486
"Estonia";233;1326539;116200
"Eswatini";748;1160164;18412
"Ethiopia";231;114963583;236554
"Fiji";242;896444;68
"Finland";246;5540718;83253
"France";250;65273512;5248853
"Gabon";266;2225728;21566
"Gambia";270;2416664;5694
"Georgia";268;3989175;292244
"Germany";276;83783945;3110252
"Ghana";288;31072945;91545
"Greece";300;10423056;308006
"Grenada";308;112519;155
"Guatemala";320;17915567;208694
"Guinea";324;13132792;21299
"Guinea-Bissau";624;1967998;3706
"Guyana";328;786559;11527
"Haiti";332;11402533;12857
"Honduras";340;9904608;198975
"Hungary";348;9660350;736982
"Iceland";352;341250;6279
"India";356;1380004385;14291917
"Indonesia";360;273523621;1589359
"Iran";364;83992953;2168872
"Iraq";368;40222503;956860
"Ireland";372;4937796;242402
"Israel";376;8655541;836902
"Italy";380;60461828;3826156
"Jamaica";388;2961161;43240
"Japan";392;126476458;521796
"Jordan";400;10203140;679138
"Kazakhstan";398;18776707;333046
"Kenya";404;53771300;149219
"Kosovo";NA;1831000;99210
"Kuwait";414;4270563;253066
"Kyrgyzstan";417;6524191;91144
"Laos";418;7275556;53
"Latvia";428;1886202;109731
"Lebanon";422;6825442;504800
"Lesotho";426;2142252;10709
"Liberia";430;5057677;2042
"Libya";434;6871287;170558
"Liechtenstein";438;38137;2780
"Lithuania";440;2722291;230462
"Luxembourg";442;625976;64549
"Madagascar";450;27691019;30207
"Malawi";454;19129955;33902
"Malaysia";458;32365998;367977
"Maldives";462;540542;25939
"Mali";466;20250834;12706
"Malta";470;441539;29833
"Marshall Islands";584;59194;4
"Mauritania";478;4649660;18072
"Mauritius";480;1271767;1202
"Mexico";484;128932753;2295435
"Micronesia";954;548927;1
"Moldova";498;4033963;244177
"Monaco";492;39244;2387
"Mongolia";496;3278292;18565
"Montenegro";499;628062;95042
"Morocco";504;36910558;504260
"Mozambique";508;31255435;69002
"Namibia";516;2540916;46185
"Nepal";524;29136808;282054
"Netherlands";528;17134873;1402433
"New Zealand";554;4822233;2591
"Nicaragua";558;6624554;6778
"Niger";562;24206636;5113
"Nigeria";566;206139587;164080
"North Macedonia";807;2083380;145001
"Norway";578;5421242;106224
"Oman";512;5106622;176668
"Pakistan";586;220892331;745182
"Panama";591;4314768;359830
"Papua New Guinea";598;8947027;9188
"Paraguay";600;7132530;244528
"Peru";604;32971846;1667737
"Philippines";608;109581085;904285
"Poland";616;37846605;2642242
"Portugal";620;10196707;829358
"Qatar";634;2881060;193952
"Romania";642;19237682;1020301
"Russia";643;145934460;4622464
"Rwanda";646;12952209;23744
"Saint Kitts and Nevis";659;53192;44
"Saint Lucia";662;183629;4355
"Saint Vincent and the Grenadines";670;110947;1818
"Samoa";882;198410;3
"San Marino";674;33938;5010
"Sao Tome and Principe";678;219161;2271
"Saudi Arabia";682;34813867;402142
"Senegal";686;16743930;39606
"Serbia";688;8737370;654870
"Seychelles";690;98340;4765
"Sierra Leone";694;7976985;4016
"Singapore";702;5850343;60735
"Slovakia";703;5459643;373950
"Slovenia";705;2078932;229967
"Solomon Islands";90;686878;19
"Somalia";706;15893219;12837
"South Africa";710;59308690;1562931
"South Korea";410;51269183;112789
"South Sudan";728;11193729;10416
"Spain";724;46754783;3396685
"Sri Lanka";144;21413250;95949
"Sudan";729;43849269;32932
"Suriname";740;586634;9458
"Sweden";752;10099270;892480
"Switzerland";756;8654618;630194
"Syria";760;17500657;20713
"Taiwan";158;23816775;1068
"Tajikistan";762;9537642;13308
"Tanzania";834;59734213;509
"Thailand";764;69799978;37453
"Togo";768;8278737;12214
"Trinidad and Tobago";780;1399491;8678
"Tunisia";788;11818618;279376
"Turkey";792;84339067;4086957
"Uganda";800;45741000;41263
"Ukraine";804;43733759;1956454
"United Arab Emirates";784;9890400;491423
"United Kingdom";826;67886004;4396096
"United States of America";840;331002647;31495649
"Uruguay";858;3473727;156499
"Uzbekistan";860;33469199;85730
"Vanuatu";548;307150;3
"Vatican City";336;809;27
"Venezuela";862;28435943;179365
"Vietnam";704;97338583;2758
"West Bank and Gaza";NA;2881957;276407
"Yemen";887;29825968;5657
"Zambia";894;18383956;90532
"Zimbabwe";716;14862927;37422
